Ticker,Name,Sector,AssetClass,MarketValue,NotionalValue,Shares,Price,Location,Exchange,Currency,FXRate,MarketCurrency,AccrualDate,Weight
MSFT,MICROSOFT CORP,Information Technology,Equity,590442417.8,590442417.8,1992651,296.31,United States,NASDAQ,USD,1,USD,,4.99
AAPL,APPLE INC,Information Technology,Equity,584947282.9,584947282.9,4151212,140.91,United States,NASDAQ,USD,1,USD,,4.94
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,376907257.1,376907257.1,114761,3284.28,United States,NASDAQ,USD,1,USD,,3.19
NVDA,NVIDIA CORP,Information Technology,Equity,132451110.2,132451110.2,632557,209.39,United States,NASDAQ,USD,1,USD,,1.12
JPM,JPMORGAN CHASE & CO,Financials,Equity,126382263,126382263,784983,161,United States,New York Stock Exchange Inc.,USD,1,USD,,1.07
JNJ,JOHNSON & JOHNSON,Health Care,Equity,110905406.4,110905406.4,696642,159.2,United States,New York Stock Exchange Inc.,USD,1,USD,,0.94
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,100383869.6,100383869.6,248752,403.55,United States,New York Stock Exchange Inc.,USD,1,USD,,0.85
HD,HOME DEPOT INC,Consumer Discretionary,Equity,95125350.84,95125350.84,281203,338.28,United States,New York Stock Exchange Inc.,USD,1,USD,,0.8
PG,PROCTER & GAMBLE,Consumer Staples,Equity,91712273.04,91712273.04,643866,142.44,United States,New York Stock Exchange Inc.,USD,1,USD,,0.78
BAC,BANK OF AMERICA CORP,Financials,Equity,84488309.52,84488309.52,1958468,43.14,United States,New York Stock Exchange Inc.,USD,1,USD,,0.71
DIS,WALT DISNEY,Communication,Equity,83057640.48,83057640.48,480213,172.96,United States,New York Stock Exchange Inc.,USD,1,USD,,0.7
ADBE,ADOBE INC,Information Technology,Equity,74658456,74658456,126300,591.12,United States,NASDAQ,USD,1,USD,,0.63
XOM,EXXON MOBIL CORP,Energy,Equity,68304657.55,68304657.55,1118465,61.07,United States,New York Stock Exchange Inc.,USD,1,USD,,0.58
CMCSA,COMCAST CORP CLASS A,Communication,Equity,63465210.38,63465210.38,1204502,52.69,United States,NASDAQ,USD,1,USD,,0.54
PFE,PFIZER INC,Health Care,Equity,61185996.78,61185996.78,1477209,41.42,United States,New York Stock Exchange Inc.,USD,1,USD,,0.52
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,60961655.1,60961655.1,1116105,54.62,United States,NASDAQ,USD,1,USD,,0.52
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,59631312.52,59631312.52,103967,573.56,United States,New York Stock Exchange Inc.,USD,1,USD,,0.5
PEP,PEPSICO INC,Consumer Staples,Equity,57650393.01,57650393.01,364899,157.99,United States,NASDAQ,USD,1,USD,,0.49
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,56199494,56199494,1094440,51.35,United States,New York Stock Exchange Inc.,USD,1,USD,,0.48
INTC,INTEL CORPORATION CORP,Information Technology,Equity,55788542.94,55788542.94,1067519,52.26,United States,NASDAQ,USD,1,USD,,0.47
KO,COCA-COLA,Consumer Staples,Equity,55618346.88,55618346.88,1025412,54.24,United States,New York Stock Exchange Inc.,USD,1,USD,,0.47
CVX,CHEVRON CORP,Energy,Equity,55132321.41,55132321.41,511479,107.79,United States,New York Stock Exchange Inc.,USD,1,USD,,0.47
ABT,ABBOTT LABORATORIES,Health Care,Equity,53789229,53789229,459737,117,United States,New York Stock Exchange Inc.,USD,1,USD,,0.45
LLY,ELI LILLY,Health Care,Equity,53050515.68,53050515.68,224372,236.44,United States,New York Stock Exchange Inc.,USD,1,USD,,0.45
MRK,MERCK & CO INC,Health Care,Equity,52941343.6,52941343.6,670568,78.95,United States,New York Stock Exchange Inc.,USD,1,USD,,0.45
WMT,WALMART INC,Consumer Staples,Equity,52422858.2,52422858.2,378860,138.37,United States,New York Stock Exchange Inc.,USD,1,USD,,0.44
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,52050226.4,52050226.4,116888,445.3,United States,NASDAQ,USD,1,USD,,0.44
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,51142766.7,51142766.7,327209,156.3,United States,New York Stock Exchange Inc.,USD,1,USD,,0.43
WFC,WELLS FARGO,Financials,Equity,50310223.65,50310223.65,1092513,46.05,United States,New York Stock Exchange Inc.,USD,1,USD,,0.43
DHR,DANAHER CORP,Health Care,Equity,49660396.86,49660396.86,167851,295.86,United States,New York Stock Exchange Inc.,USD,1,USD,,0.42
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,47860286,47860286,197240,242.65,United States,New York Stock Exchange Inc.,USD,1,USD,,0.4
T,AT&T INC,Communication,Equity,47729386.1,47729386.1,1886537,25.3,United States,New York Stock Exchange Inc.,USD,1,USD,,0.4
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,45641361.1,45641361.1,243941,187.1,United States,NASDAQ,USD,1,USD,,0.39
MDT,MEDTRONIC PLC,Health Care,Equity,43578905.51,43578905.51,355543,122.57,United States,New York Stock Exchange Inc.,USD,1,USD,,0.37
ORCL,ORACLE CORP,Information Technology,Equity,42912749.2,42912749.2,445153,96.4,United States,New York Stock Exchange Inc.,USD,1,USD,,0.36
NEE,NEXTERA ENERGY INC,Utilities,Equity,41515084.71,41515084.71,517709,80.19,United States,New York Stock Exchange Inc.,USD,1,USD,,0.35
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,39628470.52,39628470.52,186821,212.12,United States,New York Stock Exchange Inc.,USD,1,USD,,0.33
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,39561948.12,39561948.12,183514,215.58,United States,NASDAQ,USD,1,USD,,0.33
C,CITIGROUP INC,Financials,Equity,37602308.88,37602308.88,535188,70.26,United States,New York Stock Exchange Inc.,USD,1,USD,,0.32
QCOM,QUALCOMM INC,Information Technology,Equity,37252667.04,37252667.04,297926,125.04,United States,NASDAQ,USD,1,USD,,0.31
UNP,UNION PACIFIC CORP,Industrials,Equity,37165700.55,37165700.55,172183,215.85,United States,New York Stock Exchange Inc.,USD,1,USD,,0.31
INTU,INTUIT INC,Information Technology,Equity,36042652.38,36042652.38,67377,534.94,United States,NASDAQ,USD,1,USD,,0.3
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Equity,35984548.4,35984548.4,401255,89.68,United States,New York Stock Exchange Inc.,USD,1,USD,,0.3
MS,MORGAN STANLEY,Financials,Equity,35439562.09,35439562.09,359537,98.57,United States,New York Stock Exchange Inc.,USD,1,USD,,0.3
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,35180860.28,35180860.28,191138,184.06,United States,New York Stock Exchange Inc.,USD,1,USD,,0.3
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,34890701.64,34890701.64,319629,109.16,United States,NASDAQ,USD,1,USD,,0.29
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,34463084.76,34463084.76,311151,110.76,United States,NASDAQ,USD,1,USD,,0.29
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,33787209.17,33787209.17,592031,57.07,United States,New York Stock Exchange Inc.,USD,1,USD,,0.29
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,33705933.81,33705933.81,87251,386.31,United States,New York Stock Exchange Inc.,USD,1,USD,,0.28
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,33220908.36,33220908.36,236011,140.76,United States,New York Stock Exchange Inc.,USD,1,USD,,0.28
BLK,BLACKROCK INC,Financials,Equity,32754620.64,32754620.64,37744,867.81,United States,New York Stock Exchange Inc.,USD,1,USD,,0.28
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,31483123.14,31483123.14,119173,264.18,United States,New York Stock Exchange Inc.,USD,1,USD,,0.27
BA,BOEING,Industrials,Equity,31365458.28,31365458.28,141426,221.78,United States,New York Stock Exchange Inc.,USD,1,USD,,0.27
TGT,TARGET CORP,Consumer Discretionary,Equity,31061600,31061600,131200,236.75,United States,New York Stock Exchange Inc.,USD,1,USD,,0.26
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,30996818.86,30996818.86,241766,128.21,United States,NASDAQ,USD,1,USD,,0.26
AMGN,AMGEN INC,Health Care,Equity,30647784.42,30647784.42,150522,203.61,United States,NASDAQ,USD,1,USD,,0.26
